P000;P004;P008;P009;P013;P014;P163;P164;P015;P016;P017;P018;P019;P020;P021;P022;P023;P024;P025;P026;P027_1;P027_2;P028;P029;P030;P031;P032;P033;P034;P035;P037;P038;P039;P040;P041;P042;P043;P044;P045;P046;P056;P057;P058;P072;P076;P077;P082;P083;P085;P086;P087;P088;P097;P098;P099;P100;P101;P104;P105;P106;P109;P110;P111;P114;P115;P116;P119;P120;P121;P124;P125;P126;P129;P130;P131;P134;P135;P136;P153;P157;P158;P160;P161;P165
1;2004;1;1;0;0; ; ;2003;24;6;1985;1;2;4;20;2;4;2;5;1;5;0;0;0;0;0;1;3;0;9;9;1;1;3;3;0;0;0;0;13;1;613;4;H4;3;0;0;515;577;0;420; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2;2004;2;2;0;0; ; ;2002;18;5;1984;1;1;0;0;3;7;1;5;5;0;0;0;0;0;1;0;0;1;4;4;7;3;0;0;0;0;0;0;7;1;380;8;H4;3;0;0;445;390;0;439;2004;C;1402;32;0;1430;32;0;1434;32;0;1937;32;0;1938;32;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; 
3;2004;1;2;0;0; ; ;2002;24;5;1986;1;1;0;0;2;2;0;1;1;0;0;1;0;0;1;0;1;2;5;5;1;6;2;6;3;12;3;12;5;5;314;8;H4;3;0;0;561;680;0;536; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
4;2004;2;2;0;0; ; ;2002;28;2;1985;1;1;0;0;1;4;1;1;1;6;0;1;0;0;0;0;1;3;9;5;1;6;3;6;5;4;4;6;13;1;614;8;H4;3;0;0;561;567;0;525; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
5;2004;2;1;0;0; ; ;2002;3;1;1986;1;1;0;0;1;6;2;1;1;6;1;1;0;0;0;1;3;1;9;7;1;1;2;2;2;4;9;11;13;6;673;8;H4;3;0;0;422;515;0;381; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
6;2004;2;1;0;0; ; ;2001;22;7;1985;1;1;0;0;0;5;1;1;1;4;1;0;0;0;1;1;1;3;7;6;1;6;3;6;5;12;1;12;13;1;616; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
7;2004;1;2;0;0; ; ;1993;2;4;1976;1;1;0;0;1;3;1;1;5;1;0;0;0;0;0;0;1;3;8;2;1;4;2;6;4;12;3;12;13;1;627;8;H4;3;0;0;662;515;0;578;2004;C;1122;17;0;1132;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; 
8;2004;2;2;0;0; ; ;2002;27;12;1986;1;1;0;0;2;4;2;5;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;3;230; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
9;2004;1;1;0;0; ; ;2001;27;9;1983;1;1;0;0;1;4;2;1;1;0;0;0;1;0;0;0;2;0;9;5;1;1;1;1;0;0;0;0;13;1;614;7;H4;3;51;440;561;739;639;401;2004;P;1670;17;0;3460;24;60370;1238;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3460;2; ;SIN_IN;1;22
10;2004;2;1;0;0; ; ;2002;29;11;1985;1;1;0;0;3;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;13;1;610;8;H4;3;0;0;422;433;0;378; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
